id_igra,wmo,lat,lon,alt,state,name,start,end,total
USM00074001,74001,34.6,-86.6333,175.0,AL,REDSTONE ARSENAL,1992,2014,2583
USM00074002,74002,39.5,-76.1667,5.0,MD,ABERDEEN PRVGR,1992,2017,5475
USM00074003,74003,40.1667,-112.9333,1325.0,UT,DUGWAY PRVGR,1944,2020,1894
USM00074004,74004,32.8356,-114.4,231.0,AZ,YUMA PROVING GROUNDS AZ,1992,2020,11271
USM00074005,74005,32.8636,-114.0331,231.0,AZ,YUMA PRVGR,2008,2020,5318
USM00074207,74207,47.13,-122.6,71.0,WA,GRAY AAF,1920,1986,4029
USM00074389,74389,43.8925,-70.2572,124.5,ME,GRAY,1940,2020,62099
USM00074392,74392,43.88,-69.93,36.0,ME,BRUNSWICK,1953,1955,965
USM00074455,74455,41.6114,-90.5817,230.5,IA,QUAD CITY,1935,2020,20681
USM00074479,74479,40.433,-80.0,229.0,PA,PITTSBURGH/EMSU,1971,1973,544
USM00074482,74482,41.5,-74.1,138.0,NY,NEWBURGH/STEWART AFB,1942,1951,3104
USM00074486,74486,40.65,-73.7833,10.1,NY,NEW YORK JFK AP,1952,1980,24923
USM00074494,74494,41.6569,-69.9589,15.1,MA,CHATHAM,1970,2020,36264
USM00074505,74505,37.3167,-121.8667,31.0,CA,SAN JOSE/EMSU,1971,1972,188
USM00074531,74531,38.967,-104.817,1999.0,CO,AIR FORCE ACADEMY,1981,2000,4234
USM00074544,74544,38.87,-98.82,569.0,KS,RUSSELL,1952,1952,284
USM00074560,74560,40.1517,-89.3383,179.2,IL,LINCOLN,1995,2020,18819
USM00074570,74570,39.8333,-84.05,249.9,OH,DAYTON W PATTERSON AFB,1918,1995,42163
USM00074574,74574,38.33,-77.03,7.0,VA,DAHLGREN,1946,1959,2797
USM00074606,74606,34.65,-120.567,112.0,CA,SOUTH VANDENBERG AF,1966,2001,6218
USM00074611,74611,35.281,-116.63,716.0,CA,BICYCLE LAKE (AAF),1987,1993,1660
USM00074612,74612,35.6833,-117.6833,696.0,CA,CHINA LAKE,1946,2020,12483
